"Vel:0","Vel:1","Vel:2","Press","T",":0",":1",":2"
-0.00023656,2.455e-06,0,-0.047922,273.6,0.0064,0.0003,0
-0.00023795,2.7074e-06,0,-0.047868,273.6,0.0065,0.0003,0
-0.00023948,2.9546e-06,0,-0.047812,273.59,0.0066,0.0003,0
-0.00024117,3.2012e-06,0,-0.047755,273.58,0.0067,0.0003,0
-0.00024301,3.4543e-06,0,-0.047698,273.58,0.0068,0.0003,0
-0.000245,3.7234e-06,0,-0.047639,273.57,0.0069,0.0003,0
-0.00024717,4.0193e-06,0,-0.047579,273.56,0.007,0.0003,0
-0.00024952,4.3539e-06,0,-0.047519,273.56,0.0071,0.0003,0
-0.00025208,4.7382e-06,0,-0.047457,273.55,0.0072,0.0003,0
-0.00025487,5.181e-06,0,-0.047394,273.54,0.0073,0.0003,0
-0.00025792,5.687e-06,0,-0.04733,273.53,0.0074,0.0003,0
-0.00026127,6.2542e-06,0,-0.047264,273.53,0.0075,0.0003,0
-0.00026492,6.8715e-06,0,-0.047197,273.52,0.0076,0.0003,0
-0.0002689,7.5161e-06,0,-0.047128,273.51,0.0077,0.0003,0
-0.0002732,8.1503e-06,0,-0.047056,273.5,0.0078,0.0003,0
-0.00027778,8.7193e-06,0,-0.046982,273.49,0.0079,0.0003,0
-0.00028257,9.1486e-06,0,-0.046904,273.48,0.008,0.0003,0
-0.00028744,9.3425e-06,0,-0.046824,273.47,0.0081,0.0003,0
-0.00029221,9.1835e-06,0,-0.046739,273.46,0.0082,0.0003,0
-0.00029662,8.5337e-06,0,-0.046649,273.45,0.0083,0.0003,0
-0.00030034,7.2381e-06,0,-0.046555,273.44,0.0084,0.0003,0
